CustomerID,Revenue_given,Frequency,Recency,United Kingdom or Not
12999,455.88,28,128,1
13000,534.85,31,107,1
13002,120.94999999999999,7,319,1
13003,149.05,6,33,1
13005,468.95,29,128,1
13006,81.57,4,57,1
13008,178.46999999999997,15,324,1
13012,1311.6200000000001,107,10,1
13014,3365.43,124,11,1
13015,3346.28,176,54,1
13016,789.89,47,74,1
13017,204.0,1,301,1
13021,2584.4,134,26,1
13023,689.9,40,183,1
13026,936.15,43,25,1
13028,659.68,47,23,1
13029,1247.5,10,90,1
13030,799.48,99,12,1
13032,996.52,75,53,1
13033,190.55,11,358,1
13034,642.77,37,55,1
13035,886.63,30,58,1
13037,881.07,48,139,1
13038,908.46,28,81,1
13040,676.99,43,182,1
13043,471.57,14,37,1
13044,560.47,33,292,1
13045,305.28000000000003,18,335,1
13046,629.31,35,90,1
13048,1805.91,137,15,1
13049,656.6800000000001,14,183,1
13052,348.15000000000003,18,35,1
13055,1201.96,78,66,1
13058,271.40000000000003,8,0,1
13059,183.4,8,250,1
13060,307.53,15,254,1
13061,248.61,10,73,1
13062,346.98,11,338,1
13064,1119.49,69,1,1
13066,430.9,49,25,1
13067,115.46000000000001,15,83,1
13068,344.0,2,11,1
13070,228.8,9,193,1
13072,177.15,7,267,1
13075,919.61,22,305,1
13077,729.27,112,119,1
13079,220.10000000000002,6,22,1
13080,58.08,6,180,1
13083,303.75,18,76,1
13085,272.38,29,217,1
13091,319.82,24,22,1
13092,459.83,26,5,1
13094,1708.8600000000001,30,22,1
13095,74.39999999999999,6,71,1
13099,207.35999999999999,1,334,1
13101,101.19,8,235,1
13103,243.94,8,40,1
13104,1098.48,20,47,1
13106,59.5,2,134,1
13107,1524.07,60,45,1
13109,766.84,50,30,1
13110,1452.8700000000001,146,54,1
13115,2205.63,132,0,1
13116,485.19,31,118,1
13117,984.91,76,22,1
13118,1125.0,82,20,1
13120,30.599999999999998,1,239,1
13121,254.73,53,270,1
13122,922.39,55,184,1
13126,2056.29,142,39,1
13127,259.17,15,78,1
13130,64.0,2,184,1
13131,1039.3,46,24,1
13132,77.3,3,262,1
13133,109.8,7,37,1
13134,1740.63,105,73,1
13135,3096.0,1,197,1
13136,2545.38,139,0,1
13138,962.39,63,23,1
13140,423.72,46,109,1
13141,2385.8,136,85,1
13142,307.09,23,20,1
13144,110.95,3,39,1
13145,614.77,7,40,1
13146,228.91,17,27,1
13147,712.8000000000001,4,11,1
13149,1676.06,86,15,1
13151,1250.3700000000001,75,204,1
13153,486.22,15,242,1
13154,-611.86,1,145,1
13155,971.76,85,80,1
13157,1721.57,89,6,1
13158,1201.06,79,2,1
13159,1379.75,122,51,1
13160,91.8,4,23,1
13161,112.75,8,314,1
13162,1644.99,82,39,1
13165,1021.48,42,47,1
13166,414.7,42,310,1
13167,791.33,65,19,1
13168,1310.14,133,200,1
13169,712.88,13,153,1
13170,116.00999999999999,32,27,1
13171,426.81,48,17,1
13173,353.65,43,212,1
13176,492.84,72,47,1
13177,282.45,17,183,1
13182,121.18,11,46,1
13185,71.4,1,268,1
13186,1539.69,84,32,1
13187,236.02,37,191,1
13188,114.60000000000001,2,12,1
13189,260.68,29,19,1
13192,911.94,63,206,1
13193,117.88,29,91,1
13194,60.7,3,136,1
13196,1797.78,110,12,1
13200,870.09,46,20,1
13203,869.46,57,10,1
13207,250.26000000000002,8,3,1
13208,1205.9,150,0,1
13210,353.48,22,154,1
13211,1197.42,56,11,1
13212,780.58,143,10,1
13213,1518.43,92,57,1
13216,333.74,5,268,1
13217,133.62,7,93,1
13218,62.63999999999999,5,246,1
13220,819.2900000000001,21,79,1
13221,847.41,66,241,1
13223,163.20000000000002,5,201,1
13224,2150.85,109,33,1
13226,108.21000000000001,16,37,1
13227,257.7,9,202,1
13228,358.0,2,82,1
13229,160.95,10,226,1
13233,605.12,43,75,1
13235,101.17000000000007,59,5,1
13236,727.27,39,1,1
13238,680.83,32,12,1
13239,329.56,22,262,1
13240,663.65,67,174,1
13242,270.40000000000003,13,66,1
13243,600.07,58,204,1
13244,121.74000000000001,27,123,1
13245,430.5,16,51,1
13246,1922.1,143,19,1
13247,501.12,25,18,1
13248,465.68,26,155,1
13249,711.41,23,123,1
13253,1030.4,36,186,1
13255,390.66,14,10,1
13256,0.0,1,15,1
13258,698.58,38,12,1
13259,292.32,87,91,1
13260,557.62,8,91,1
13261,944.1,9,269,1
13262,200.29,11,264,1
13265,2107.66,91,1,1
13271,178.26,101,302,1
13272,276.56,15,31,1
13273,138.98,16,114,1
13276,590.9300000000001,30,153,1
13277,258.4,8,16,1
13278,542.73,46,41,1
13279,126.30000000000001,11,78,1
13280,814.86,85,93,1
13282,1047.8400000000001,40,5,1
13283,93.66,7,30,1
13284,196.15,14,323,1
13291,361.11,42,156,1
13292,578.9399999999999,31,285,1
13294,873.74,54,250,1
13295,197.95000000000002,11,360,1
13296,87.4,5,138,1
13297,2089.85,59,24,1
13298,360.0,2,120,1
13299,142.5,5,269,1
13300,365.29,22,165,1
13301,618.09,81,104,1
13302,63.75,1,155,1
13304,300.42,21,352,1
13305,2000.86,81,22,1
13307,15.0,1,32,1
13308,1367.6100000000001,57,23,1
13309,1456.79,107,1,1
13310,1083.63,77,28,1
13311,598.57,26,3,1
13313,1555.32,78,23,1
13314,578.66,75,52,1
13317,2140.07,135,94,1
13318,640.76,20,119,1
13320,1491.7,110,4,1
13321,567.36,11,73,1
13322,199.48000000000002,25,18,1
13323,787.85,21,22,1
13325,675.3,12,82,1
13328,1308.48,17,317,1
13329,740.4,19,121,1
13330,1140.93,53,123,1
13332,350.9,21,15,1
13336,795.12,51,78,1
13338,431.82,24,125,1
13339,860.12,54,201,1
13341,775.85,42,261,1
13343,303.93,22,173,1
13344,2543.72,119,160,1
13345,377.6,22,129,1
13347,341.36,8,71,1
13348,233.76,14,182,1
13349,247.32,16,11,1
13350,910.72,43,17,1
13351,373.94,16,244,1
13352,389.28,27,61,1
13354,743.53,51,72,1
13355,674.7,32,93,1
13356,768.24,42,81,1
13357,609.95,90,258,1
13358,439.03,29,269,1
13359,431.26,24,30,1
13362,3085.4900000000002,169,10,1
13363,992.5,60,18,1
13364,0.0,20,71,1
13365,2191.22,132,182,1
13366,56.160000000000004,1,51,1
13368,623.4,29,192,1
13369,263.75,19,355,1
13372,378.64,23,31,1
13373,3312.25,158,61,1
13375,772.9,38,1,1
13376,1019.76,53,204,1
13379,572.56,97,27,1
13382,222.99,15,251,1
13385,534.57,35,330,1
13388,627.15,36,63,1
13389,797.96,51,12,1
13390,544.08,13,75,1
13391,59.8,1,204,1
13394,2312.8,164,33,1
13395,307.72,21,157,1
13396,1325.29,47,22,1
13397,1539.18,39,73,1
13398,457.34,26,193,1
13402,621.23,39,246,1
13403,75.0,3,18,1
13404,252.49,11,35,1
13405,572.451,27,75,1
13410,988.91,30,25,1
13411,213.55,18,108,1
13414,1390.5,24,134,1
13416,712.5,19,44,1
13417,640.83,28,206,1
13419,221.06,16,153,1
13420,140.35,10,135,1
13421,1848.98,105,41,1
13422,2601.55,128,52,1
13425,1624.21,78,109,1
13426,3550.7000000000003,159,11,1
13427,582.6,29,20,1
13428,218.47,74,11,1
13429,1006.8,67,11,1
13430,648.6899999999999,54,19,1
13431,1269.1,46,1,1
13434,534.24,10,75,1
13436,196.89,12,120,1
13437,3408.06,167,15,1
13439,283.71,54,256,1
13441,296.64,13,92,1
13447,1104.23,62,24,1
13449,291.88,19,24,1
13450,2043.7199999999998,71,27,1
13452,590.0,2,260,1
13453,356.97999999999996,17,166,1
13455,1007.35,53,25,1
13456,1737.8200000000002,65,18,1
13460,183.44,17,50,1
13461,1445.0,27,139,1
13462,143.25,10,94,1
13464,674.68,41,0,1
13466,297.95,18,101,1
13467,1083.71,99,11,1
13470,165.0,10,116,1
13473,417.54,22,39,1
13474,229.59,64,237,1
13475,1431.78,86,188,1
13476,1092.77,61,68,1
13477,1441.53,81,5,1
13479,291.0,16,199,1
13481,1776.81,112,46,1
13482,184.64,11,233,1
13483,140.34,10,214,1
13484,313.8,8,6,1
13485,454.24,23,234,1
13486,1122.41,69,79,1
13487,575.4,34,58,1
13489,449.52,14,106,1
13491,1215.82,86,39,1
13492,1269.84,50,96,0
13493,618.63,8,98,0
13494,316.26000000000005,18,342,1
13495,1990.1200000000001,52,233,1
13496,617.93,36,11,1
13497,321.05,20,310,1
13499,1146.96,45,18,1
13500,1136.77,67,24,1
13501,1310.47,53,36,0
13502,292.0,18,17,1
13503,216.85,17,72,1
13504,295.93,22,183,1
13506,452.82,29,313,1
13507,2479.16,162,108,1
13508,110.97,12,67,1
13509,979.72,44,37,1
13510,1785.16,117,46,1
13512,251.21,15,261,1
13513,205.1,10,216,1
13514,152.20000000000002,4,74,1
13515,891.12,59,73,1
13516,1389.41,44,22,1
13517,2109.07,143,30,1
13518,659.4399999999999,38,86,1
13519,110.80000000000001,9,51,1
13520,3487.75,95,0,0
13522,125.80000000000001,5,90,1
13524,680.1800000000001,27,41,1
13525,628.78,6,15,1
13529,307.76,15,79,1
13531,483.8,22,206,1
13532,210.31,66,182,1
13533,270.79,76,65,1
13538,1280.85,25,32,1
13539,605.84,38,86,1
13544,291.41,87,40,1
13546,626.99,98,13,1
13548,682.41,124,67,1
13549,916.12,52,3,1
13551,91.80000000000001,4,320,1
13552,3539.53,121,82,1
13557,584.06,34,29,1
13558,605.06,175,24,1
13560,174.37,33,301,1
13561,141.85999999999999,14,127,1
13562,1799.33,82,82,1
13563,777.53,49,85,1
13564,647.74,85,145,1
13565,240.22,38,20,1
13566,874.71,176,41,1
13568,192.85,44,174,1
13569,373.75,85,18,1
13570,239.49,27,67,1
13572,1384.25,33,206,1
13573,294.4,26,51,1
13575,732.0699999999999,46,0,1
13577,1658.3,85,1,1
13579,467.04,23,15,1
13581,118.0,10,283,1
13583,781.03,53,156,1
13584,142.4,24,191,1
13587,347.0,11,44,1
13589,379.65,21,15,1
13590,1976.12,89,3,1
13591,1117.13,58,183,1
13592,247.95999999999998,16,66,1
13593,1990.28,129,109,1
13594,396.97,26,53,1
13596,697.04,166,13,1
13598,167.42000000000002,41,48,1
13600,219.52,19,313,1
13601,693.32,99,5,1
13602,428.89,23,183,1
13603,164.34,27,27,1
13606,280.53999999999996,43,59,1
13607,678.01,98,41,1
13611,1158.2,76,31,1
13615,399.99,24,313,1
13617,544.18,44,4,1
13618,177.34,13,174,1
13621,213.85,19,117,1
13623,672.44,86,90,1
13626,257.23,19,340,1
13627,1624.02,94,30,1
13630,1995.68,80,76,1
13631,3021.77,12,134,1
13632,2117.02,147,25,1
13635,1071.03,62,275,1
13636,941.62,64,93,1
13637,810.5,101,53,1
13638,122.64,8,16,1
13639,1033.34,40,75,1
13642,354.8,66,127,1
13643,519.44,28,121,1
13644,2597.52,148,17,1
13645,252.1,5,32,1
13647,1670.22,80,10,1
13649,346.6,23,257,1
13650,1809.34,98,1,1
13651,94.2,6,40,1
13652,1095.08,63,46,1
13654,2707.33,166,36,1
13655,932.97,56,6,1
13656,379.65,49,165,1
13657,382.14,16,11,1
13658,2421.47,112,10,1
13659,1550.85,108,197,1
13662,879.08,58,35,1
13663,189.47,13,180,1
13666,84.65,12,61,1
13667,305.02,87,150,1
13669,218.55,9,51,1
13670,349.7,25,76,1
13672,-71.46,16,38,1
13673,396.92,65,19,1
13675,486.82000000000005,25,33,1
13678,232.6,16,33,1
13681,827.83,57,18,1
13682,59.5,3,218,1
13684,64.23,31,286,1
13685,3119.44,39,46,1
13686,72.0,8,65,1
13689,910.0,6,153,1
13690,172.25,9,30,1
13692,1466.8700000000001,55,25,1
13693,-32.0,4,326,1
13695,2504.13,90,2,1
13697,151.29999999999998,12,333,1
13699,308.58000000000004,14,156,1
13703,99.5,1,319,1
13704,2295.31,135,0,1
13705,711.86,28,145,1
13706,330.79,20,69,1
13707,806.41,48,267,1
13708,296.88,51,272,1
13710,180.48,8,121,1
13711,252.06,13,219,1
13712,228.84,10,159,1
13715,1053.94,108,191,1
13716,138.28,21,270,1
13717,1432.26,103,57,1
13718,306.55,12,159,1
13719,1041.68,60,16,1
13720,799.9,43,117,1
13721,524.14,28,274,1
13722,2369.16,86,32,1
13723,199.85000000000002,6,188,1
13725,1809.81,118,38,1
13726,1079.6599999999999,42,101,1
13727,333.48,20,29,1
13728,1016.14,63,108,1
13730,752.6,43,136,1
13731,610.59,38,159,1
13732,491.86,33,29,1
13737,339.59999999999997,30,201,1
13739,216.9,3,19,1
13740,350.75,23,241,1
13741,666.33,35,4,1
13743,1340.1499999999999,42,1,1
13744,1156.36,72,215,1
13745,291.54,26,33,1
13748,948.25,28,159,1
13750,1647.26,24,54,1
13751,296.25,9,289,1
13752,1186.28,76,96,1
13753,741.26,35,288,1
13754,282.59999999999997,12,33,1
13758,3190.55,117,12,1
13759,659.4100000000001,25,72,1
13760,286.79,57,55,1
13761,1070.65,70,51,1
13762,3.552713678800501e-15,14,205,1
13763,1689.46,17,153,1
13769,2771.87,143,60,1
13771,2631.7,120,180,1
13772,1132.13,177,182,1
13774,345.0,22,82,1
13778,178.7,9,104,1
13780,360.01,57,171,1
13781,127.84,17,281,1
13782,912.0,115,13,1
13784,2462.79,31,10,1
13787,309.04,31,76,1
13790,348.8,45,212,1
13791,1047.68,17,44,1
13792,195.55,13,244,1
13799,688.86,39,117,1
13800,558.32,33,283,1
13801,324.8,23,244,1
13803,277.07,17,256,1
13804,2635.79,137,79,1
13805,924.6,13,53,1
13806,256.38,10,153,1
13808,1747.66,76,47,1
13809,155.05,12,161,0
13810,899.51,36,29,0
13811,591.75,14,95,0
13812,539.0,36,43,0
13813,1353.41,71,31,0
13814,1562.12,58,57,0
13816,555.04,33,24,0
13817,382.98,24,59,0
13819,1140.35,36,38,1
13821,385.64,59,145,1
13822,632.0,96,41,1
13823,957.66,40,19,1
13824,1698.94,46,6,1
13826,174.65,12,177,1
13827,412.05,93,58,1
13828,209.49,15,23,1
13829,-102.0,1,360,1
13831,2202.99,74,17,1
13832,40.949999999999996,4,18,1
13833,384.8,29,278,1
13835,834.57,55,26,1
13837,271.24,19,5,1
13838,691.73,174,118,1
13841,85.0,1,340,1
13844,361.62,20,12,1
13845,312.98,9,183,1
13846,847.61,58,25,1
13848,1255.0,5,123,1
13849,1537.95,101,52,1
13850,1586.81,94,0,1
13851,2651.46,81,215,1
13853,1056.94,24,58,1
13856,363.4,17,95,1
13858,216.17,11,58,1
13859,201.16,28,327,1
13860,1240.0,77,15,1
13862,2187.31,142,19,1
13863,299.56,22,128,1
13865,501.56,30,0,1
13866,145.67000000000002,7,75,1
13867,1015.29,61,75,1
13868,3192.54,33,301,1
13870,2751.25,118,41,1
13873,381.7,24,2,1
13874,540.45,18,358,1
13875,1786.79,104,38,1
13876,122.7,7,153,1
13877,117.24,3,87,1
13878,1281.53,36,55,1
13880,3219.77,165,22,1
13882,1131.28,66,12,1
13883,2538.75,155,4,1
13884,781.3000000000001,60,31,1
13885,506.8,28,201,1
13886,243.56,16,72,1
13887,349.55,19,204,1
13888,605.63,40,2,1
13889,416.90000000000003,15,123,1
13890,1860.8600000000001,114,19,1
13892,632.97,27,27,1
13893,821.1,21,298,1
13894,535.97,30,23,1
13895,2588.12,119,22,1
13897,311.16,17,51,1
13898,155.93,12,326,1
13899,388.52,19,17,1
13900,740.95,43,94,1
13901,2867.2,149,73,1
13904,332.64,26,295,1
13908,2347.05,126,4,1
13911,2580.91,148,58,1
13914,613.95,34,12,1
13917,272.04,18,50,1
13918,1212.8400000000001,30,50,1
13919,350.15999999999997,33,30,0
13922,172.25,7,352,1
13923,351.13,20,54,1
13924,1682.08,137,10,1
13925,616.65,45,63,1
13926,223.85000000000002,11,24,1
13927,348.99,21,75,1
13928,464.57,27,11,1
13929,802.85,10,170,1
13930,337.34,17,58,1
13931,1230.93,59,86,1
13932,307.4,16,295,1
13933,608.7900000000001,23,110,1
13934,922.1,31,264,1
13936,361.28,27,171,1
13937,158.85,9,170,1
13938,71.66,7,243,1
13939,556.75,46,24,1
13940,839.14,49,18,1
13946,561.5699999999999,11,80,1
13947,90.6,5,214,1
13948,102.0,3,361,1
13949,2427.32,160,25,1
13950,728.56,36,12,1
13951,674.45,39,177,1
13952,3246.091,138,4,1
13953,3515.68,20,53,1
13954,378.59,30,58,1
13955,322.96,33,125,1
13956,1026.42,152,55,1
13959,598.2,92,80,1
13960,230.22,12,22,1
13962,169.55,11,22,1
13963,664.54,35,252,1
13967,80.7,2,146,1
13971,2702.2200000000003,158,4,1
